_id,broadcast_score,collab_score,country,engagement,followers,creator_id,median_views,name,price,category,followers_num,engagement_num,median_views_num,price_num,broadcast_score_num,collab_score_num,category_list,n_categories,followers_num_missing,engagement_num_missing,median_views_num_missing,price_num_missing,broadcast_score_num_missing,collab_score_num_missing,followers_num_log1p,median_views_num_log1p,price_num_log1p,followers_num_outlier_iqr,engagement_num_outlier_iqr,median_views_num_outlier_iqr,price_num_outlier_iqr,price_tier,size_tier,category_group_list,primary_category_group,is_usable_for_clustering,sampling_stratum
mie.hmg,N/A,76.3,Unknown,3.83%,132K,mie.hmg,12.7K,𝗠𝗶𝗲𝗹𝗼𝘂𝘀𝗶𝗮𝗻,"8,000,000 VND","Daily Life, Lip Syncing, Selfie",132000.0,3.83,12700.0,8000000.0,,76.3,"['Daily Life', 'Lip Syncing', 'Selfie']",3,0,0,0,0,1,0,11.790564777297387,9.44943600950432,15.894952224644102,False,False,False,False,high,micro,"['Lifestyle', 'Entertainment', 'Beauty & Fashion']",Lifestyle,True,micro | high | Lifestyle
gjangsun,97.4,81.9,Unknown,9.40%,66.1K,gjangsun,18.8K,sun,"10,000,000 VND","Lip Syncing, Beauty Tutorials & Tips, Selfie",66100.0,9.4,18800.0,10000000.0,97.4,81.9,"['Lip Syncing', 'Beauty Tutorials & Tips', 'Selfie']",3,0,0,0,0,0,0,11.098939154318382,9.841665338892785,16.118095750958314,False,False,False,False,high,micro,"['Entertainment', 'Beauty & Fashion']",Entertainment,True,micro | high | Entertainment
tuanhq_93,94.4,79.3,Unknown,3.55%,252.6K,tuanhq_93,4.2K,Tuấn Trường Sa,"150,000 VND","Jobs & Careers, Daily Life, Other transportation",252600.0,3.55,4200.0,150000.0,94.4,79.3,"['Jobs & Careers', 'Daily Life', 'Other transportation']",3,0,0,0,0,0,0,12.439566447718878,8.343077871169383,11.918397239722838,False,False,False,False,low,micro,"['Others', 'Lifestyle']",Others,True,micro | low | Others
phongdathiphop,N/A,75.3,Unknown,1.73%,44.9K,phongdathiphop,8.5K,Phong Đạt🔝,"2,631,000 VND","Dance, Music",44900.0,1.73,8500.0,2631000.0,,75.3,"['Dance', 'Music']",2,0,0,0,0,1,0,10.712215345197256,9.04793908261736,14.782874940105977,False,False,False,False,mid,micro,['Entertainment'],Entertainment,True,micro | mid | Entertainment
lanvi_04,92.4,76.7,Unknown,7.31%,1.3M,lanvi_04,74.9K,Nguyễn Thị Lan Vi,"2,631,000 VND","Lip Syncing, Cosmetics, Dance, Beauty & Personal Care",1300000.0,7.31,74900.0,2631000.0,92.4,76.7,"['Lip Syncing', 'Cosmetics', 'Dance', 'Beauty & Personal Care']",4,0,0,0,0,0,0,14.077875591662238,11.223922520551032,14.782874940105977,True,False,False,False,mid,mid,"['Entertainment', 'Others', 'Beauty & Fashion']",Entertainment,True,mid | mid | Entertainment
maxpxt,N/A,73.8,Unknown,3.39%,433.6K,maxpxt,1.1K,Max (maxpxt),"1,300,000 VND",Non-video Games,433600.0,3.39,1100.0,1300000.0,,73.8,['Non-video Games'],1,0,0,0,0,1,0,12.979880035377978,7.00397413672268,14.077875591662238,False,False,False,False,mid,micro,['Others'],Others,True,micro | mid | Others
yangto1406,98.7,79.2,Unknown,21.78%,37.7K,yangto1406,41.7K,Bắp Rang Ber 🌽,"10,000,000 VND","Fitness, Selfie",37700.0,21.78,41700.0,10000000.0,98.7,79.2,"['Fitness', 'Selfie']",2,0,0,0,0,0,0,10.537441898283253,10.638280388314705,16.118095750958314,False,True,False,False,high,micro,"['Others', 'Beauty & Fashion']",Others,True,micro | high | Others
kiem_tien_tren_ticktok,91.8,78.6,Unknown,4.32%,79.2K,kiem_tien_tren_ticktok,28.6K,Phạm Trung,"1,200,000 VND",Software & Apps,79200.0,4.32,28600.0,1200000.0,91.8,78.6,['Software & Apps'],1,0,0,0,0,0,0,11.279744203985432,10.261196961231647,13.997832948091215,False,False,False,False,mid,micro,['Others'],Others,True,micro | mid | Others
mauhaucothoa,90.2,86.5,Unknown,3%,114.3K,mauhaucothoa,953.3K,Mẫu Hậu Cô Thoa👩‍🏫,"2,500,000 VND","Family, Daily Life",114300.0,3.0,953300.0,2500000.0,90.2,86.5,"['Family', 'Daily Life']",2,0,0,0,0,0,0,11.646590598651017,13.767685977468846,14.731801689838349,False,False,True,False,mid,micro,['Lifestyle'],Lifestyle,True,micro | mid | Lifestyle
vittien_woo,N/A,75.9,Unknown,6.37%,98.6K,vittien_woo,21.2K,Vịt Tiến,"4,500,000 VND",Beauty Tutorials & Tips,98600.0,6.37,21200.0,4500000.0,,75.9,['Beauty Tutorials & Tips'],1,0,0,0,0,1,0,11.498836682527127,9.961803629358965,15.319588176962746,False,False,False,False,high,micro,['Beauty & Fashion'],Beauty & Fashion,True,micro | high | Beauty & Fashion
