_id,broadcast_score,collab_score,country,engagement,followers,creator_id,median_views,name,price,category,followers_num,engagement_num,median_views_num,price_num,broadcast_score_num,collab_score_num,category_list,n_categories,followers_num_missing,engagement_num_missing,median_views_num_missing,price_num_missing,broadcast_score_num_missing,collab_score_num_missing,followers_num_log1p,median_views_num_log1p,price_num_log1p,followers_num_outlier_iqr,engagement_num_outlier_iqr,median_views_num_outlier_iqr,price_num_outlier_iqr,price_tier,size_tier,category_group_list,primary_category_group,is_usable_for_clustering,sampling_stratum
nhuanh20043,91.6,76.4,Unknown,3.71%,391.9K,nhuanh20043,350.5K,Ông Hoàng Dai Chìm,"6,000,000 VND","Dance, Lip Syncing",391900.0,3.71,350500.0,6000000.0,91.6,76.4,"['Dance', 'Lip Syncing']",2,0,0,0,0,0,0,12.878764535855812,12.767118838519758,15.607270193858982,False,False,True,False,high,micro,['Entertainment'],Entertainment,True,micro | high | Entertainment
thangit90,N/A,92.4,Unknown,5.89%,427.4K,thangit90,21.6K,𝚃𝙷𝙰𝙽𝙶 𝙸𝚃,"2,000,000 VND","Music, News & Entertainment, Appliances, Vehicle & Transportation",427400.0,5.89,21600.0,2000000.0,,92.4,"['Music', 'News & Entertainment', 'Appliances', 'Vehicle & Transportation']",4,0,0,0,0,1,0,12.965477961593038,9.980494888896912,14.508658238524095,False,False,False,False,mid,micro,"['Entertainment', 'Others']",Entertainment,True,micro | mid | Entertainment
tt_trinh96,N/A,78.8,Unknown,5.57%,158.6K,tt_trinh96,8.4K,🍀tt_trinh96🥀,"500,000 VND","Movies & TV, Dance, Music",158600.0,5.57,8400.0,500000.0,,78.8,"['Movies & TV', 'Dance', 'Music']",3,0,0,0,0,1,0,11.974146893333247,9.036106025364846,13.122365377402328,False,False,False,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
yenmannxinhh,91,88.2,Unknown,3.76%,119.7K,yenmannxinhh,16.3K,Yến Mẫn Xinhh ⋆𐙚˚,"1,500,000 VND","Lip Syncing, Outfits",119700.0,3.76,16300.0,1500000.0,91.0,88.2,"['Lip Syncing', 'Outfits']",2,0,0,0,0,0,0,11.692752245730048,9.69898173460629,14.220976332738882,False,False,False,False,mid,micro,"['Entertainment', 'Beauty & Fashion']",Entertainment,True,micro | mid | Entertainment
caothanhdance,N/A,71.8,Unknown,2.53%,71.2K,caothanhdance,6.6K,Cao Thanh Dance,"1,868,000 VND",Dance,71200.0,2.53,6600.0,1868000.0,,71.8,['Dance'],1,0,0,0,0,1,0,11.173262142245258,8.79497643168877,14.440379433102688,False,False,False,False,mid,micro,['Entertainment'],Entertainment,True,micro | mid | Entertainment
ngocdaiofficial,N/A,69,Unknown,3.24%,628.8K,ngocdaiofficial,57.6K,ngocdaiofficial,"500,000 VND",Movies & TV,628800.0,3.24,57600.0,500000.0,,69.0,['Movies & TV'],1,0,0,0,0,1,0,13.351570110426659,10.961295207644392,13.122365377402328,False,False,False,False,low,mid,['Entertainment'],Entertainment,True,mid | low | Entertainment
yippee1336,98.8,80.2,Unknown,18.25%,23.6K,yippee1336,53K,Yippee❗,"50,000 VND",Animation & Cosplay,23600.0,18.25,53000.0,50000.0,98.8,80.2,['Animation & Cosplay'],1,0,0,0,0,0,0,10.069044362997353,10.87806606028079,10.819798284210286,False,True,False,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
giaidieusaotruc,90.4,77.4,Unknown,5.41%,630.8K,giaidieusaotruc,7.9K,🎋爱竹笛 Đam Mê Sáo Trúc 🪈,"263,100,000 VND","News & Entertainment, Music",630800.0,5.41,7900.0,263100000.0,90.4,77.4,"['News & Entertainment', 'Music']",2,0,0,0,0,0,0,13.354745719358286,8.974744612722734,19.388044749811357,True,False,False,True,high,mid,['Entertainment'],Entertainment,True,mid | high | Entertainment
gymer5203,N/A,78,Unknown,2.95%,25.6K,gymer5203,392.3K,Đồ câu lure cá lóc,"3,000,000 VND",Movies & TV,25600.0,2.95,392300.0,3000000.0,,78.0,['Movies & TV'],1,0,0,0,0,1,0,10.150386692204734,12.879784681263985,14.914123179965662,False,False,True,False,mid,micro,['Entertainment'],Entertainment,True,micro | mid | Entertainment
bubududucorner,98.1,80.8,Unknown,14.61%,49.3K,bubududucorner,26.3K,Góc nhỏ Bubu Dudu,"5,000,000 VND","Animation & Cosplay, Toys & Collectibles",49300.0,14.61,26300.0,5000000.0,98.1,80.8,"['Animation & Cosplay', 'Toys & Collectibles']",2,0,0,0,0,0,0,10.805699643800724,10.177362240256695,15.424948670398354,False,False,False,False,high,micro,"['Entertainment', 'Others']",Entertainment,True,micro | high | Entertainment
vn.s812,N/A,72.4,Unknown,3.14%,30.8K,vn.s812,31.2K,Người Kể Chuyện 189,"1,900,000 VND","Movies & TV, Humanities & Science",30800.0,3.14,31200.0,1900000.0,,72.4,"['Movies & TV', 'Humanities & Science']",2,0,0,0,0,1,0,10.335302435967074,10.348205424565993,14.45736497045232,False,False,False,False,mid,micro,"['Entertainment', 'Others']",Entertainment,True,micro | mid | Entertainment
ngngocanh_98,96.5,95.4,Unknown,5.71%,772.2K,ngngocanh_98,63.6K,Nguyễn Ngọc Ánh,"5,000,000 VND","Lip Syncing, Skincare, Beauty Tutorials & Tips, Beauty & Personal Care",772200.0,5.71,63600.0,5000000.0,96.5,95.4,"['Lip Syncing', 'Skincare', 'Beauty Tutorials & Tips', 'Beauty & Personal Care']",4,0,0,0,0,0,0,13.55700015781273,11.060384472475045,15.424948670398354,True,False,False,False,high,mid,"['Entertainment', 'Others', 'Beauty & Fashion']",Entertainment,True,mid | high | Entertainment
thuykieudamdang,N/A,75.4,Unknown,6.91%,105.7K,thuykieudamdang,319.7K,Thúy Kiều Thích Trai Công Nhân,"200,000 VND",Dance,105700.0,6.91,319700.0,200000.0,,75.4,['Dance'],1,0,0,0,0,1,0,11.568369632551514,12.675141462975478,12.206077645517674,False,False,True,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
lemis.ang,93.7,76.6,Unknown,11.79%,16.1K,lemis.ang,17.3K,LMS,"200,000 VND","Movies & TV, Music",16100.000000000002,11.79,17300.0,200000.0,93.7,76.6,"['Movies & TV', 'Music']",2,0,0,0,0,0,0,9.686636660844938,9.758519582283522,12.206077645517674,False,False,False,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
shipper.mayman,90.1,90.8,Unknown,0.45%,340.7K,shipper.mayman,38.7K,Trùm Xe Ôm,"1,000,000 VND","Movies & TV, Appliances, Tech & Electronics, Video Games, Health",340700.0,0.45,38700.0,1000000.0,90.1,90.8,"['Movies & TV', 'Appliances', 'Tech & Electronics', 'Video Games', 'Health']",5,0,0,0,0,0,0,12.7387605387783,10.563620718477313,13.815511557963774,False,False,False,False,mid,micro,"['Entertainment', 'Others', 'Knowledge / Tech']",Entertainment,True,micro | mid | Entertainment
fyroven,92.5,79.5,Unknown,11.33%,279.6K,fyroven,12.9K,Fyroven,"2,000,000 VND",Music,279600.0,11.33,12900.0,2000000.0,92.5,79.5,['Music'],1,0,0,0,0,0,0,12.541118865873308,9.465060106725137,14.508658238524095,False,False,False,False,mid,micro,['Entertainment'],Entertainment,True,micro | mid | Entertainment
khanhly6153,92.4,76.8,Unknown,5.54%,251.3K,khanhly6153,79.3K,Ly Khanh🫧,"3,000,000 VND","Dance, Beauty Tutorials & Tips",251300.0,5.54,79300.0,3000000.0,92.4,76.8,"['Dance', 'Beauty Tutorials & Tips']",2,0,0,0,0,0,0,12.434406702831367,11.281006017883909,14.914123179965662,False,False,False,False,mid,micro,"['Entertainment', 'Beauty & Fashion']",Entertainment,True,micro | mid | Entertainment
maihuong.3djelly,N/A,77,Unknown,1.68%,2.2M,maihuong.3djelly,431K,Mai Hương,"3,000,000 VND",Animation & Cosplay,2200000.0,1.68,431000.0,3000000.0,,77.0,['Animation & Cosplay'],1,0,0,0,0,1,0,14.603968372873895,12.973865689268807,14.914123179965662,True,False,True,False,mid,macro,['Entertainment'],Entertainment,True,macro | mid | Entertainment
maimo_10,95.9,79.6,Unknown,16.84%,542.6K,maimo_10,18.7K,mai mò,"5,000,000 VND","Lip Syncing, Haircare, Health, Dance, Beauty & Personal Care",542600.0,16.84,18700.0,5000000.0,95.9,79.6,"['Lip Syncing', 'Haircare', 'Health', 'Dance', 'Beauty & Personal Care']",5,0,0,0,0,0,0,13.204129522183523,9.83633227734872,15.424948670398354,False,True,False,False,high,mid,"['Entertainment', 'Others', 'Beauty & Fashion']",Entertainment,True,mid | high | Entertainment
hongnabi95,N/A,75.6,Unknown,5.51%,183.8K,hongnabi95,19.5K,Hồng Nabi 1995,"1,200,000 VND",Lip Syncing,183800.0,5.51,19500.0,1200000.0,,75.6,['Lip Syncing'],1,0,0,0,0,1,0,12.121608929585332,9.87822102528824,13.997832948091215,False,False,False,False,mid,micro,['Entertainment'],Entertainment,True,micro | mid | Entertainment
._.ehe23,93.8,79.6,Unknown,10.26%,34.7K,._.ehe23,7.1K,Shiro đu otp,"1,500,000 VND",Animation & Cosplay,34700.0,10.26,7100.0,1500000.0,93.8,79.6,['Animation & Cosplay'],1,0,0,0,0,0,0,10.454523783963511,8.867990898182093,14.220976332738882,False,False,False,False,mid,micro,['Entertainment'],Entertainment,True,micro | mid | Entertainment
chan.funnnn,N/A,85.6,Unknown,3.56%,104.5K,chan.funnnn,68.6K,Chấn Hưng,"4,000,000 VND","Lip Syncing, Beauty Tutorials & Tips, Music",104500.0,3.56,68600.0,4000000.0,,85.6,"['Lip Syncing', 'Beauty Tutorials & Tips', 'Music']",3,0,0,0,0,1,0,11.556951919719207,11.136062390867204,15.201805169084134,False,False,False,False,high,micro,"['Entertainment', 'Beauty & Fashion']",Entertainment,True,micro | high | Entertainment
anlt.94,92.4,79.3,Unknown,10.32%,56.8K,anlt.94,31K,anlt,"100,000 VND",Music,56800.0,10.32,31000.0,100000.0,92.4,79.3,['Music'],1,0,0,0,0,0,0,10.947309210188068,10.34177474101152,11.51293546492023,False,False,False,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
kieuhungdatviet,N/A,69.4,Unknown,3.96%,305.4K,kieuhungdatviet,446.9K,Kiêu Hùng Đại Việt,"5,000,000 VND","Movies & TV, Humanities & Science",305400.0,3.96,446900.0,5000000.0,,69.4,"['Movies & TV', 'Humanities & Science']",2,0,0,0,0,1,0,12.629380946155546,13.010092372556095,15.424948670398354,False,False,True,False,high,micro,"['Entertainment', 'Others']",Entertainment,True,micro | high | Entertainment
mcquyenquyen,N/A,71.4,Unknown,14.76%,129.4K,mcquyenquyen,12.1K,🔥🎙️Quyên Quyên🎙️🔥,"160,000 VND","News & Entertainment, Dance, Music",129400.0,14.76,12100.0,160000.0,,71.4,"['News & Entertainment', 'Dance', 'Music']",3,0,0,0,0,1,0,11.770671388994348,9.401043372798053,11.982935344196433,False,True,False,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
trapcosphay,96.2,79.8,Unknown,11.30%,63.5K,trapcosphay,4.1K,𝙃𝙞𝙩𝙤𝙢𝙞 🎀,"400,000 VND",Animation & Cosplay,63500.0,11.3,4100.0,400000.0,96.2,79.8,['Animation & Cosplay'],1,0,0,0,0,0,0,11.05881093278828,8.31898612539206,12.899222326086994,False,False,False,False,low,micro,['Entertainment'],Entertainment,True,micro | low | Entertainment
han1565nt,98,80.2,Unknown,9.30%,15K,han1565nt,20.9K,mh,"1,000,000 VND",Movies & TV,15000.0,9.3,20900.0,1000000.0,98.0,80.2,['Movies & TV'],1,0,0,0,0,0,0,9.61587214452889,9.94755228369823,13.815511557963774,False,False,False,False,mid,micro,['Entertainment'],Entertainment,True,micro | mid | Entertainment
lykio.98,92.3,93.9,Unknown,2.96%,12.4M,lykio.98,67.1K,Lykio,"10,000,000 VND","Dance, News & Entertainment, Comedy",12400000.0,2.96,67100.0,10000000.0,92.3,93.9,"['Dance', 'News & Entertainment', 'Comedy']",3,0,0,0,0,0,0,16.333207111220425,11.11395422597838,16.118095750958314,True,False,False,False,high,macro,['Entertainment'],Entertainment,True,macro | high | Entertainment
