FOLLOWERS,VIDEO_COUNT,VIDEO_COUNT_3M_x,VIEW_STD,VIEW_CV,VIEW_MEAN_V,MEAN_LIKES_3M,MAX_LIKES_3M,MEAN_COMMENTS_3M,MAX_COMMENTS_3M,MEAN_SHARES_3M,MAX_SHARES_3M,MEAN_SAVES_3M,MAX_SAVES_3M,MEAN_VIEWS_RATE_3M,MEAN_LIKE_RATE_3M,MEAN_COMMENT_RATE_3M,MEAN_SHARE_RATE_3M,MEAN_SAVE_RATE_3M,AVG_POST_GAP,POSTING_CONSISTENCY,VIDEOS_PER_WEEK,MAX_VIRAL_STRENGTH,COLLAB_SCORE
49800,3308,440.0,63362.63216619436,1.1684088647852675,54229.84545454545,4810.045454545455,125400.0,49.52045454545455,559.0,279.21363636363634,5335.0,465.7704545454545,18739.0,1.0889527199707922,0.0803494721096493,0.0008984801328321,0.0044018883305096,0.0069762497301649,0.2031008236311482,0.989010989010989,33.84615384615385,16.30098689336397,81.7
174000,16,16.0,419911.570849546,0.7377547693570663,569175.0,33128.125,129200.0,491.25,1829.0,678.9375,2636.0,1470.3125,5238.0,3.2711206896551723,0.0536297858999722,0.0008600925306175,0.001059556926384,0.0024668899511136,2.51741975308642,0.1758241758241758,1.2307692307692308,2.8110862212802545,81.6
115100,109,27.0,247723.6283175161,3.947863800485027,62748.77777777778,670.2962962962963,3628.0,4.25925925925926,10.0,6.222222222222222,63.0,26.814814814814813,186.0,0.5451674872091901,0.0472490196121344,0.0003379702752862,0.0003212388004737,0.0016312569126548,2.5750494123931627,0.1648351648351648,2.076923076923077,20.717535002564976,79.8
940200,646,107.0,927315.3664972808,1.4791217970646575,626936.4485981308,25599.345794392524,251900.0,301.89719626168227,3510.0,696.3177570093458,11900.0,1269.8130841121497,18226.0,0.6668117938716558,0.0408570523746101,0.0003865456049341,0.0006512786566537,0.0017656440072695,0.8311639587700909,0.6153846153846154,8.23076923076923,8.45380741834787,98.8
91600,346,18.0,65686.49581445454,1.6658381195944536,39431.5,2411.722222222222,11600.0,26.72222222222222,169.0,209.72222222222223,1648.0,322.77777777777777,1729.0,0.4304748908296943,0.0581144036612221,0.0008274062016889,0.0039058240212661,0.0061612279810147,4.590648148148148,0.1758241758241758,1.3846153846153846,5.371340172061135,73.0
293200,179,15.0,334156.3673035781,0.9228119724463932,362106.6666666667,22275.8,104300.0,197.86666666666667,926.0,737.8666666666667,5307.0,777.9333333333333,3899.0,1.2350159163256025,0.0467647545400436,0.000515123078219,0.00129253990839,0.0017161856310773,4.42942294973545,0.1648351648351648,1.1538461538461535,3.037778923329117,75.8
273500,115,6.0,14170.203480072778,0.1267838068590455,111766.66666666669,1516.3333333333333,2642.0,39.333333333333336,68.0,4.0,6.0,180.5,269.0,0.4086532602071908,0.0138822255578158,0.0003478263555277,3.586722633714904e-05,0.0015748960005762,8.463960648148149,0.0659340659340659,0.4615384615384615,1.2069788249220967,69.3
146700,54,7.0,26570.07805067662,0.6630679014263632,40071.42857142857,1151.7142857142858,4823.0,23.428571428571427,44.0,6.571428571428571,11.0,31.285714285714285,105.0,0.2731522056675431,0.0520376676676198,0.0008583100314191,0.0001921135775839,0.0014792820248555,12.030351080246914,0.0769230769230769,0.5384615384615384,2.168627450926273,72.5
120100,745,106.0,169918.89551953942,1.3698272931336672,124044.0283018868,10640.72641509434,95000.0,36.301886792452834,501.0,2980.0188679245284,65300.0,549.4811320754717,4764.0,1.032839536235527,0.0655576588836266,0.0002671559783535,0.0124167266749862,0.0032496004581479,0.8377382054673721,0.6593406593406593,8.153846153846153,7.873011005538848,79.1
269400,361,58.0,377483.40382147295,3.256179155500296,115928.3275862069,1594.4310344827586,37200.0,36.48275862068966,402.0,167.5344827586207,4574.0,96.70689655172414,1693.0,0.4303204438983181,0.0132073910610133,0.0008253565328906,0.0009544971032356,0.0012059131751338,1.5442432179987005,0.5054945054945055,4.461538461538462,21.565048440118133,74.2
100300,30,2.0,21319.26945277441,1.4002804237355748,15225.0,589.0,1174.0,4.0,6.0,4.5,9.0,44.0,88.0,0.1517946161515453,0.0327062706270627,0.0067656765676567,0.0001485148514851,0.0014521452145214,15.151469907407408,0.0219780219780219,0.1538461538461538,1.990147783120516,66.6
24700,460,25.0,24822.3353469545,0.6701841819631124,37038.08,2999.68,6989.0,29.52,96.0,97.96,316.0,302.88,877.0,1.4995174089068826,0.0741313666153888,0.0008086180277888,0.0025035221601418,0.0072888238120495,1.072312885802469,0.0989010989010989,1.9230769230769231,2.338134158078979,79.6
36700,98,7.0,97798.18463379914,2.0174973621821897,48475.0,2221.0,11600.0,62.85714285714285,316.0,87.14285714285714,478.0,242.0,1291.0,1.3208446866485013,0.0533247855352241,0.002047065830048,0.0016123224829006,0.0052273665787732,5.436751543209876,0.0659340659340659,0.5384615384615384,5.555440948828149,73.3
