FOLLOWERS,VIDEO_COUNT,VIDEO_COUNT_3M_x,VIEW_STD,VIEW_CV,VIEW_MEAN_V,VIEW_P90,MEAN_LIKES_3M,P90_LIKES_3M,MAX_LIKES_3M,MEAN_COMMENTS_3M,P90_COMMENTS_3M,MAX_COMMENTS_3M,MEAN_SHARES_3M,P90_SHARES_3M,MAX_SHARES_3M,MEAN_SAVES_3M,P90_SAVES_3M,MAX_SAVES_3M,MEAN_VIEWS_RATE_3M,MEAN_LIKE_RATE_3M,MEAN_COMMENT_RATE_3M,MEAN_SHARE_RATE_3M,MEAN_SAVE_RATE_3M,AVG_POST_GAP,POSTING_CONSISTENCY,VIDEOS_PER_WEEK,MAX_VIRAL_STRENGTH,COLLAB_SCORE
122600.0,409,198.0,31991.870737673427,2.937252398706169,10891.767676767677,13500.0,823.2575757575758,1139.0000000000018,22800.0,1.676767676767677,3.0,82.0,222.1515151515152,56.000000000000114,20100.0,81.48484848484848,109.30000000000013,3162.0,0.0888398668578114,0.0628214906934342,0.0001480511288612,0.0031173516156472,0.0056619775156589,0.4384798011844332,0.6153846153846154,15.23076923076923,22.96229660778619,77.9
2000000.0,968,4.0,567679.9472414011,0.8976951132484734,632375.0,1177540.0,11241.75,22090.0,25000.0,88.25,147.6,153.0,696.75,1533.2000000000005,1898.0,431.5,814.9000000000001,913.0,0.3161875,0.0156238688707968,0.0001555439417532,0.0007885575374443,0.0006566820563341,13.643067129629628,0.0439560439560439,0.3076923076923077,2.0557422415464623,71.0
88200.0,915,71.0,54895.98413140374,3.1985153689181343,17162.957746478874,21800.0,750.8732394366198,301.0,40600.0,5.211267605633803,10.0,107.0,79.08450704225352,25.0,4881.0,328.2112676056338,43.0,21403.0,0.1945913576698285,0.0188718966101376,0.0004984047947321,0.0008310438484001,0.0029692512799428,1.1981984126984129,0.3846153846153846,5.461538461538462,23.71968782943606,77.7
495900.0,20,2.0,2299369.831062415,1.108610882339958,2074100.0,3374820.0,157700.0,260660.0,286400.0,608.5,850.5,911.0,10039.0,17767.8,19700.0,67864.5,120712.9,133925.0,4.182496471062715,0.0710543314398736,0.0004644735699554,0.0030838489091501,0.0201104673951059,10.00835648148148,0.0219780219780219,0.1538461538461538,1.7839062725993038,73.7
237400.0,2,1.0,0.0,0.0,237800.0,237800.0,13700.0,13700.0,13700.0,396.0,396.0,396.0,279.0,279.0,279.0,921.0,921.0,921.0,1.0016849199663016,0.0576114381833473,0.0016652649285113,0.0011732548359966,0.0038730025231286,3.647729405054731,0.0109890109890109,0.0769230769230769,0.9999999999957948,78.3
312900.0,577,66.0,261152.55756394303,3.573374609069776,73082.89393939394,154700.0,918.3030303030304,1440.5,26900.0,32.833333333333336,55.5,944.0,181.93939393939397,102.5,9494.0,144.6818181818182,196.5,5157.0,0.2335662957475038,0.0090892085579757,0.0006542396724871,0.0008800774800322,0.0013465218603624,1.323018874643875,0.4615384615384615,5.076923076923077,27.36618505598849,83.1
42900.0,92,6.0,171175.4386770096,1.104595216235137,154966.66666666666,343500.0,8277.666666666666,18600.0,21600.0,277.0,615.5,718.0,380.1666666666667,898.0,1129.0,1001.6666666666666,2240.0,2579.0,3.612276612276612,0.0596725912368893,0.0027457570378502,0.0022915651956374,0.007148708920842,10.98788425925926,0.0659340659340659,0.4615384615384615,2.5444181544253963,75.4
1500000.0,915,54.0,44666.88699263536,1.35500044241172,32964.48148148148,71240.00000000001,1063.9444444444443,2387.8,7208.0,43.07407407407408,67.50000000000001,722.0,795.2222222222222,536.9000000000002,26600.0,65.0925925925926,128.3,514.0,0.0219763209876543,0.0343305508511534,0.001709769214287,0.0067885777033122,0.0021826948575366,1.6546831324248776,0.5714285714285714,4.153846153846154,6.943837418515008,77.4
69300.0,1143,127.0,347785.4031976681,3.157516070633348,110145.25196850394,163720.00000000006,2400.511811023622,3842.800000000001,64500.0,45.49606299212599,95.60000000000002,520.0,23.834645669291337,38.0,802.0,83.32283464566929,147.00000000000003,2000.0,1.5893975753030871,0.0265736441943636,0.0011200313508582,0.0004199134882212,0.0011620264305655,0.6958876212522046,0.934065934065934,9.76923076923077,25.42097775376863,78.6
102000.0,93,10.0,259473.01743683827,0.81230008902115,319430.0,673870.0,9620.6,19780.0,23200.0,90.1,161.89999999999995,296.0,172.7,360.4,463.0,596.7,1217.0,1460.0,3.131666666666667,0.0350062748427955,0.0003225952435423,0.000771602078662,0.0021165779574086,8.01814814814815,0.1098901098901098,0.7692307692307693,2.229909526336819,71.6
927300.0,827,74.0,469866.72566158586,3.4570060019333635,135917.24324324325,153680.0,8280.121621621622,6918.700000000005,263100.0,62.83783783783784,88.10000000000001,1822.0,2958.9324324324325,362.3000000000005,164600.0,163.59459459459458,147.8000000000003,6844.0,0.1465731082101188,0.0296851889872854,0.0003943916470499,0.0019997561763541,0.000564806111714,1.1932727676306445,0.6153846153846154,5.6923076923076925,23.54373826027063,78.1
480700.0,2481,95.0,2406.4111053730426,0.8485890999217632,2835.778947368421,5509.800000000001,46.1578947368421,97.0,357.0,2.442105263157895,5.0,14.0,8.83157894736842,14.600000000000009,61.0,11.557894736842105,24.800000000000026,141.0,0.0058992697053638,0.0159222832580037,0.0011172001306483,0.0039762436344607,0.003654088717963,0.9152490888494876,0.956043956043956,7.3076923076923075,5.430606644731764,71.4
100800.0,164,33.0,546238.8675448376,1.7103815913050635,319366.6666666667,692800.0000000001,9133.69696969697,21180.000000000004,65800.0,330.5151515151515,869.6,2193.0,3026.6666666666665,10999.800000000008,35300.0,427.2121212121212,919.0,3205.0,3.168320105820106,0.0280279949807902,0.0011692697100857,0.0053392241223698,0.0014194578705346,2.7175600405092597,0.1978021978021978,2.5384615384615383,7.2017534703876365,75.9
35500.0,173,29.0,17095.244261262156,1.143882445537825,14944.93103448276,24040.0,2309.620689655173,4419.0,7016.0,13.689655172413794,20.4,37.0,100.3103448275862,261.4,469.0,244.6206896551724,535.0,677.0,0.4209839728023312,0.1734428570936392,0.0018285290244133,0.0061428702209022,0.0190765272146685,2.9295465443121693,0.2967032967032967,2.230769230769231,5.807989330557398,75.4
50000.0,255,36.0,80840.67022917108,2.059130692821171,39259.61111111111,103700.0,2935.9444444444443,6201.0,44800.0,14.0,52.0,63.0,261.8888888888889,545.5,4420.0,235.5,350.5,2944.0,0.7851922222222222,0.0667334469301845,0.0005863309968009,0.0042653652386183,0.0045480230843162,2.2852787698412698,0.3736263736263736,2.769230769230769,11.607348801766967,76.9
47100.0,314,45.0,139355.76164652407,1.2883043002789458,108169.91111111113,276780.00000000006,8948.222222222223,29280.000000000007,59600.0,15.377777777777778,35.80000000000001,87.0,503.3333333333333,1580.6,4987.0,527.2,1629.2000000000005,4172.0,2.296601085161595,0.0663871285207459,0.0002787601092318,0.0033188908480046,0.0037003219800136,1.9647382680976435,0.3956043956043956,3.4615384615384617,6.243880512206316,77.5
44100.0,14,6.0,8337.388498005035,1.1676742135109863,7140.166666666667,16020.5,1553.0,3247.0,5175.0,21.666666666666668,35.5,47.0,244.5,595.5,1069.0,148.66666666666666,296.0,406.0,0.1619085411942555,0.2480196364698189,0.0046143286429126,0.0290454190710308,0.0257248464355742,15.666555555555556,0.0659340659340659,0.4615384615384615,3.277234424507752,75.5
50300.0,64,7.0,5554.289929329187,0.9963617830539124,5574.571428571428,13320.0,659.1428571428571,1750.0000000000002,1999.0,5.142857142857143,10.400000000000002,14.0,16.857142857142858,47.60000000000001,68.0,67.0,171.80000000000004,227.0,0.110826469752911,0.104401057499855,0.0011735835100557,0.0022971836543343,0.0106521494832231,9.555746527777778,0.0769230769230769,0.5384615384615384,2.690789810393226,73.4
16800.0,12,2.0,78418.14203358813,0.94195966405581,83250.0,127610.0,3355.0,5115.8,5556.0,258.5,429.3,472.0,7558.0,13191.6,14600.0,580.0,847.2,914.0,4.955357142857143,0.0407842349047942,0.002510866577106,0.0619121544869367,0.0077193414698666,53.12935185185185,0.0219780219780219,0.1538461538461538,1.6660660660460531,72.8
