"CREATOR_ID","FOLLOWERS","FOLLOWING_COUNT","ENGAGEMENT","TOTAL_LIKES","DIGG_COUNT","VIDEO_COUNT","COLLAB_SCORE","HAS_BROADCAST_SCORE","PRICE_NUM","grp_ENTERTAINMENT","grp_LIFESTYLE","grp_FOOD","grp_BEAUTY","grp_FASHION","grp_GAMING","grp_TECH","grp_COMMERCE","grp_EDUCATION","grp_NEWS","grp_PETS_NATURE","grp_SPORTS","grp_TRAVEL","grp_FAMILY_KIDS","grp_HOME_DIY","grp_UNKNOWN","CATEGORY_GROUP_COUNT"
"phngan775",10.7557942761687,1.79175946922805,14.16,12.8863903795582,4.67282883446191,3.17805383034795,77.9,"1",13.1223653774023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"tiemdanguzheng",10.3951609374575,0.693147180559945,10.56,14.1519835088709,5.29330482472449,3.25809653802148,72.8,"1",17.0343864228325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"phmychi7",10.2853769241156,4.02535169073515,7.3,12.4791523707604,8.23827262463303,3.29583686600433,86.8,"1",13.8155115579638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"phim.movie.hi",11.092869425057,2.89037175789616,1.39,14.1519835088709,6.55250788703459,5.80814248998044,71.3,"0",13.8155115579638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"onlypassionmusic",13.9108216468591,7.14834574390007,9.02,18.7514223130485,10.8036692274771,8.42617379302907,79.4,"1",13.8155115579638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"tanhoangminhrx",10.9954276314362,6.4393503711001,2.84,12.3449689959974,6.2841341610708,5.55295958492162,74.5,"0",13.1223653774023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"embebongbong261",9.75851958228352,1.79175946922805,5.84,12.7004670125384,4.39444915467244,2.484906649788,85.9,"1",13.1223653774023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"zionloi99",11.6535652827695,2.19722457733622,12.24,15.3630732794462,9.53249633228804,3.58351893845611,80.6,"1",12.899222326087,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"joiepep.06",12.1934989266016,4.51085950651685,2.79,14.2855148122098,7.54644627374602,5.96100533962327,87.9,"0",13.8155115579638,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"hoahaujenniferpham",10.6286419917311,3.95124371858143,1.81,11.643962499268,5.70044357339069,3.76120011569356,74,"0",18.4206807539524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"thebittercacao_official",12.1720038384888,6.88243747099785,2.01,16.0015619470619,9.40927319457533,8.97638862194537,75.4,"0",13.5923682566493,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"quynhnghe37",10.9205462705296,3.66356164612965,1.81,13.8155115579638,7.38212436573751,5.63835466933375,72.1,"0",14.5086582385241,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"dontranmusic",11.1676284038758,4.52178857704904,12.94,13.5239556624719,6.89871453432999,2.89037175789616,70.2,"0",12.2060776455177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"nguyennamfamily",13.191518102459,3.76120011569356,5.86,16.195056784687,9.77571099759397,5.19295685089021,74.3,"0",15.8436589368355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"_anhdun",13.4612626663498,4.04305126783455,11.12,16.8789015267211,11.3851034570321,7.47193207824512,76.6,"1",19.3373717996862,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4
"misu7125",8.95415696658377,2.99573227355399,4.71,14.2855148122098,5.19849703126583,5.37989735354046,80.2,"0",12.6115410869661,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"phamvanphu02072021",11.2972663353656,4.76217393479776,2.67,12.0470827756872,5.87493073085203,3.85014760171006,73.8,"0",16.1180957509583,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
